2025-04-09 03:25:06,803 INFO    MainThread:268039 [wandb_setup.py:_flush():76] Current SDK version is 0.15.4
2025-04-09 03:25:06,804 INFO    MainThread:268039 [wandb_setup.py:_flush():76] Configure stats pid to 268039
2025-04-09 03:25:06,804 INFO    MainThread:268039 [wandb_setup.py:_flush():76] Loading settings from /home/li/.config/wandb/settings
2025-04-09 03:25:06,804 INFO    MainThread:268039 [wandb_setup.py:_flush():76] Loading settings from /home/li/MachineLr/RWKV-Development-Tools-ssg/wkv7_reward_model/wandb/settings
2025-04-09 03:25:06,804 INFO    MainThread:268039 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2025-04-09 03:25:06,804 INFO    MainThread:268039 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2025-04-09 03:25:06,804 INFO    MainThread:268039 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'wkv7_reward_model/train_model.py', 'program': '/home/li/MachineLr/RWKV-Development-Tools-ssg/wkv7_reward_model/train_model.py'}
2025-04-09 03:25:06,804 INFO    MainThread:268039 [wandb_init.py:_log_setup():507] Logging user logs to /home/li/MachineLr/RWKV-Development-Tools-ssg/wkv7_reward_model/wandb/run-20250409_032506-szmdk0f5/logs/debug.log
2025-04-09 03:25:06,804 INFO    MainThread:268039 [wandb_init.py:_log_setup():508] Logging internal logs to /home/li/MachineLr/RWKV-Development-Tools-ssg/wkv7_reward_model/wandb/run-20250409_032506-szmdk0f5/logs/debug-internal.log
2025-04-09 03:25:06,804 INFO    MainThread:268039 [wandb_init.py:init():547] calling init triggers
2025-04-09 03:25:06,804 INFO    MainThread:268039 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {}
2025-04-09 03:25:06,804 INFO    MainThread:268039 [wandb_init.py:init():596] starting backend
2025-04-09 03:25:06,804 INFO    MainThread:268039 [wandb_init.py:init():600] setting up manager
2025-04-09 03:25:06,807 INFO    MainThread:268039 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-04-09 03:25:06,810 INFO    MainThread:268039 [wandb_init.py:init():606] backend started and connected
2025-04-09 03:25:06,812 INFO    MainThread:268039 [wandb_init.py:init():703] updated telemetry
2025-04-09 03:25:06,819 INFO    MainThread:268039 [wandb_init.py:init():736] communicating run to backend with 60.0 second timeout
2025-04-09 03:25:07,512 INFO    MainThread:268039 [wandb_run.py:_on_init():2176] communicating current version
2025-04-09 03:25:07,801 INFO    MainThread:268039 [wandb_run.py:_on_init():2185] got version response upgrade_message: "wandb version 0.19.9 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2025-04-09 03:25:07,801 INFO    MainThread:268039 [wandb_init.py:init():787] starting run threads in backend
2025-04-09 03:25:09,830 INFO    MainThread:268039 [wandb_run.py:_console_start():2155] atexit reg
2025-04-09 03:25:09,830 INFO    MainThread:268039 [wandb_run.py:_redirect():2010] redirect: 3
2025-04-09 03:25:09,830 INFO    MainThread:268039 [wandb_run.py:_redirect():2075] Wrapping output streams.
2025-04-09 03:25:09,830 INFO    MainThread:268039 [wandb_run.py:_redirect():2100] Redirects installed.
2025-04-09 03:25:09,830 INFO    MainThread:268039 [wandb_init.py:init():828] run started, returning control to user process
